name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,cloud_percentage
img_2007.tif,8.409696946141288,8.090391583811403,7.922105353762458,9,20141,17.92
img_2009.tif,9.598592905301707,9.56011184938077,9.644011336019956,5,4791,56.83
img_201.tif,9.225838856886496,8.938375612955765,8.680689347856942,132,116005,18.19
img_2010.tif,7.862656130895203,8.130978516027758,7.642740771330992,48,34150,30.16
img_2012.tif,9.369285223910856,9.302219822940224,9.141047328153457,9,5930,51.25
img_2014.tif,8.210302251518325,8.060223713401545,8.141594105130837,5,2101,10.21
img_2015.tif,8.415844849075057,7.78212606267708,7.638946217553731,21,307476,16.89
img_2017.tif,9.966861869752778,9.761098266516756,9.5618556463482,6,201762,49.84
img_2019.tif,7.045263559356109,7.332954539031772,6.772913666991921,16,251187,18.47
img_202.tif,10.661204707471494,10.548221428543712,10.543211888817671,35,21012,69.31
img_2020.tif,10.123429168340715,9.996014715776754,9.772981126501636,29,27512,59.39
img_2021.tif,7.424082751766018,7.473089932433805,6.78106925274532,174,102094,13.08
img_2022.tif,8.988509640721409,8.721731907699546,8.393334280119513,51,62054,41.33
img_2024.tif,9.880866991205693,9.7058691280631,9.692147612896004,11,5235,55.9
img_2027.tif,9.902230732284057,9.846818417228144,9.610792524110456,49,48749,52.41
img_2029.tif,10.042898480193204,9.816140774801909,9.706747915413429,1,157,66.31
img_2032.tif,7.00574093149141,7.209682135588816,6.303455421359719,19,301214,12.4
img_2033.tif,7.175006183311036,6.5970822280649415,6.354790029923208,16,330766,10.45
img_2034.tif,7.488675456542868,7.372657925677798,7.00215420127039,15,29072,22.4
img_2038.tif,9.010956615541682,8.99073144491786,8.523167702491335,112,78220,35.44
img_2039.tif,9.501434698362202,9.413588470875077,9.303377161610344,33,16201,50.11
img_2040.tif,8.229008409338874,8.022585393614088,8.12769038446209,0,0,64.39
img_2042.tif,9.90087753754991,9.83676524558406,9.643477782782098,11,5942,51.67
img_2043.tif,7.621743044938101,7.381864098805676,6.887804799348935,84,92511,19.05
img_2044.tif,7.719808275979805,7.263110054559912,6.783855465283423,64,42964,17.08
img_2047.tif,9.308125554580796,9.084276769812153,9.0758375335001,5,3602,65.78
img_2048.tif,8.348412705817214,7.95227794206633,7.88040373897001,0,0,35.16
img_2049.tif,8.377169718854612,8.218748461990522,7.8448285141147265,38,42037,34.81
img_205.tif,8.171593015127863,7.507226655704412,7.261631691493778,42,333670,14.18
img_2050.tif,10.3780353302302,10.15174619578428,10.143235058149015,3,17507,70.79
img_2051.tif,10.460953393312789,10.272021063199997,10.217901357701823,9,31398,55.72
img_2052.tif,7.84317025785248,7.718048407618019,7.394643551171943,50,273721,17.1
img_2053.tif,6.954101488351752,6.835176240261898,6.226839582243612,36,39227,12.73
img_2055.tif,9.866688583707209,9.54853933193187,9.474053663577653,37,42018,50.7
img_2056.tif,9.242650630969033,9.063003021112223,9.089390099827714,0,0,67.59
img_2057.tif,7.335161249197076,7.107605871156798,6.361818228029009,78,74595,12.86
img_2059.tif,7.84194809645471,7.772431605482311,7.644544509868636,16,7914,26.17
img_2062.tif,9.413716990419369,9.208536838595103,9.272670392200542,5,1957,18.33
img_2063.tif,10.527261065728524,10.3195452526295,10.309636599414269,98,32758,33.13
img_2064.tif,10.76364598288807,10.580564038533351,10.593688464099523,23,7666,87.55
img_2066.tif,8.804269844945024,8.650711394215094,8.751091730173968,0,0,78.27
img_2067.tif,7.01020383385932,6.987362272359232,6.493768375925594,15,10722,29.95
img_2068.tif,7.1700346202688365,7.31478849644394,6.595235914968734,41,39714,20.01
